1 Metro;2 Metro;4 Metro;6 Metro;8 Metro;10 Metro;12 Metro;14 Metro;16 Metro;18 Metro;20 Metro;30 Metro;40 Metro;50 Metro;60 Metro;70 Metro;80 Metro;90 Metro;100 Metro
-69;-67;-71;-72;-83;-83;-78;-81;-86;-86;-90;-90;-98;-92;-101;-92;-92;-93;-94
-69;-67;-71;-71;-83;-82;-78;-83;-85;-86;-90;-90;-99;-91;-102;-92;-93;-94;-96
-69;-67;-72;-73;-83;-84;-78;-83;-84;-86;-90;-90;-98;-92;-103;-92;-93;-94;-94
-69;-67;-72;-73;-83;-82;-78;-82;-86;-86;-91;-88;-99;-92;-103;-92;-93;-93;-96
-68;-66;-71;-73;-82;-84;-77;-82;-85;-86;-90;-89;-98;-93;-103;-91;-93;-93;-95
-70;-67;-71;-73;-83;-83;-77;-82;-85;-86;-91;-89;-99;-93;-102;-91;-93;-93;-96
-69;-66;-71;-72;-81;-83;-77;-83;-85;-85;-91;-89;-99;-93;-103;-90;-94;-93;-95
-68;-67;-71;-73;-81;-84;-78;-84;-86;-86;-90;-89;-99;-93;-103;-90;-94;-93;-94
-70;-67;-72;-73;-81;-85;-78;-82;-84;-86;-89;-89;-98;-93;-104;-90;-93;-92;-95
-70;-67;-71;-73;-81;-84;-79;-81;-83;-86;-90;-89;-99;-93;-104;-90;-93;-95;-95
-69;-67;-71;-73;-82;-84;-79;-83;-86;-85;-89;-90;-96;-91;-101;-91;-93;-93;-95
-69;-66;-70;-73;-79;-84;-79;-83;-86;-86;-88;-90;-95;-92;-101;-91;-92;-94;-95
-69;-66;-71;-73;-83;-84;-78;-83;-85;-85;-88;-89;-98;-92;-103;-91;-93;-94;-94
-70;-66;-70;-73;-83;-85;-78;-83;-85;-87;-89;-90;-95;-92;-103;-91;-92;-93;-96
-70;-66;-70;-71;-82;-84;-78;-83;-86;-86;-88;-89;-98;-93;-102;-91;-93;-93;-96
-70;-66;-71;-72;-82;-83;-78;-83;-84;-85;-89;-89;-99;-92;-102;-92;-95;-93;-96
-69;-66;-71;-72;-83;-83;-78;-83;-86;-85;-89;-90;-98;-93;-99;-92;-94;-94;-96
-69;-66;-71;-73;-83;-84;-78;-82;-86;-85;-89;-89;-98;-92;-102;-91;-93;-93;-95
-68;-65;-71;-72;-83;-83;-77;-83;-85;-85;-88;-90;-96;-93;-103;-91;-93;-93;-96
-68;-66;-70;-72;-83;-84;-77;-83;-85;-86;-89;-90;-99;-92;-103;-92;-94;-92;-96
-68;-65;-71;-72;-83;-84;-79;-83;-85;-86;-89;-88;-99;-93;-102;-91;-93;-92;-95
-69;-67;-71;-72;-83;-84;-78;-83;-84;-85;-89;-89;-98;-93;-101;-91;-93;-93;-95
-69;-67;-73;-72;-83;-84;-79;-82;-85;-87;-89;-89;-96;-93;-106;-92;-93;-93;-95
-69;-67;-72;-72;-83;-84;-78;-82;-84;-86;-90;-89;-98;-92;-99;-92;-94;-93;-96
;-66;-72;-72;-81;-84;-79;-83;-85;-87;-90;-89;-96;-92;-101;-92;-94;-92;-96
;-66;-72;-72;-82;-84;-79;-83;-85;-86;-89;-89;;-92;-100;-91;-94;-93;-96
;-66;-72;-73;-83;-84;-79;-83;-86;-84;;-90;;-92;-104;-91;-94;-93;
;-66;-73;-73;-82;-84;-77;-83;;-85;;-89;;-92;-100;-92;-94;-92;
;-67;;;-81;-85;-78;;;-86;;-89;;-92;;;-94;-93;
;;;;-79;-83;-78;;;-87;;-89;;;;;;-91;
;;;;-79;;-77;;;;;-88;;;;;;-92;
;;;;-79;;;;;;;-88;;;;;;;
